counter,start,storeDLT,storeKfrags,finish
1,4968,2478,116,65,130
6,2833,10411,130,63,102
0,5979,16425,113,66,108
3,4852,23336,275,126,109
9,3192,28579,114,63,103
13,28865,10387,145,78,107
5,29398,9230,111,85,103
14,16500,19200,111,60,106
4,19092,22821,112,66,120
8,14978,27931,123,72,103
2,19234,35330,109,68,116
11,8853,34143,121,61,109
10,9190,40768,114,73,110
7,41345,2303,116,69,102
12,37681,8802,112,63,105
18,27930,15055,119,63,107
16,16101,22895,110,65,111
17,7769,4707,109,71,106
19,4542,2295,110,74,116
15,2703,2311,110,66,104
