counter,start,storeDLT,storeKfrags,finish
0,2901,11702,111,67,107
1,11331,12641,114,62,106
17,10682,20174,111,74,111
10,10912,34529,110,72,107
3,10343,45082,109,66,113
2,9530,55405,112,67,108
5,7835,63496,110,65,108
4,25799,55229,111,66,103
6,59225,27078,113,64,104
7,59937,37767,110,65,110
12,53241,50186,113,76,104
18,48111,59111,117,61,103
15,46767,53569,115,62,104
14,40949,68044,119,62,107
19,44780,74872,113,66,117
8,31789,87766,109,63,118
11,39892,99664,110,64,110
13,27225,109752,114,68,111
9,23460,120934,111,66,113
16,67800,12197,114,68,108
