counter,start,storeDLT,storeKfrags,finish
0,2974,5736,113,64,112
4,4700,12645,128,77,116
8,4353,22742,193,306,123
2,5123,30463,111,63,106
10,3602,39133,198,117,153
7,4532,47612,111,69,106
1,13594,49697,112,69,106
18,53409,15763,113,77,114
13,54964,25056,111,69,108
17,52562,33955,117,66,105
9,50950,43933,115,67,110
3,49077,50754,113,59,103
15,48199,59872,112,74,116
5,56058,58812,113,68,114
12,44076,67212,111,65,120
6,35922,75273,114,73,109
11,29153,84002,110,67,112
14,20332,92602,112,67,112
16,18410,100047,113,78,104
19,50229,73319,116,60,114
