counter,start,storeDLT,storeKfrags,finish
0,2890,12015,129,67,107
4,2803,21913,111,72,105
6,14220,24714,114,67,105
2,22887,26870,112,64,108
1,22691,38117,109,66,103
7,23286,46275,113,60,104
19,21859,51959,109,62,104
18,19757,69593,126,71,107
5,20241,80828,110,59,107
8,15875,91428,110,65,123
17,26495,92449,112,66,104
3,26726,101852,112,65,108
16,21240,112662,131,66,103
12,21681,123165,113,61,109
15,50419,100587,109,63,109
13,72107,90373,115,70,108
9,87755,78496,110,61,102
14,105697,45872,115,75,103
10,94430,43108,110,76,109
11,89814,53663,110,71,112
