counter,start,storeDLT,storeKfrags,finish
0,2890,13458,116,62,103
4,2803,23930,111,65,110
6,14220,26783,112,71,104
2,22887,29069,110,67,107
1,22691,36477,111,63,117
7,23286,49982,109,66,109
19,21859,53402,112,65,110
18,19757,71709,114,67,125
5,20241,82942,111,69,107
8,15875,93772,138,83,103
17,26495,91000,112,66,110
3,26726,104077,119,66,119
16,21240,113804,115,79,114
12,21681,125284,110,64,112
15,50419,102601,141,65,108
13,72107,91933,109,68,112
9,87755,80625,121,63,103
14,105697,45320,109,62,111
10,94430,40770,111,66,108
11,89814,55776,112,68,103
