counter,start,storeDLT,storeKfrags,finish
1,10114,5030,116,64,109
14,8399,14849,117,69,114
4,11726,24845,1022,202,107
8,8552,36819,116,66,109
2,7058,54657,117,69,106
0,12077,61708,119,71,110
15,25113,45071,114,75,107
11,25036,60908,113,65,106
3,53335,39944,137,84,1007
7,64209,43123,115,69,119
16,61382,48450,121,66,110
5,64416,58327,115,69,123
6,70172,69506,115,64,194
17,56616,78878,155,989,127
12,53416,80523,123,125,107
10,46851,92013,114,67,107
9,52380,99939,118,71,112
13,46949,101054,115,69,118
19,78980,55148,115,68,113
18,88847,50352,117,64,105
