counter,start,storeDLT,storeKfrags,finish
0,6820,9690,111,69,112
5,6038,13861,117,68,114
7,7233,18570,117,69,121
10,7566,24528,119,67,104
14,4066,29328,124,84,109
6,3757,34532,111,72,121
1,5128,40962,127,64,112
13,28241,21162,109,63,103
8,40822,15846,112,59,104
18,29995,21652,108,81,105
2,38831,22742,122,72,103
4,28031,31075,113,66,123
3,37707,38049,109,80,104
11,26807,34323,111,70,157
16,27046,41177,130,100,128
15,13176,44509,113,63,104
12,18766,73548,180,102,137
19,66667,9123,137,288,252
17,58515,15768,111,139,133
9,146027,5751,1031,348,735
